127.0.0.1 - - [04/Feb/2022:10:03:24 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:03:25 +0900] "GET /02_html/05_javaScript/test01.html HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:03:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:04:04 +0900] "GET /02_html/05_javaScript/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:04:17 +0900] "GET /02_html/05_javaScript/test01.html HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:09:17 +0900] "GET /02_html/05_javaScript/test02_onload.html HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:10:05 +0900] "GET /02_html/05_javaScript/test02_onload.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:11:28 +0900] "GET /02_html/05_javaScript/test02_onload.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:54:26 +0900] "GET /02_html/05_javaScript/test03_formchecker.html HTTP/1.1" 200 1684
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:54:26 +0900] "GET /02_html/05_javaScript/test03.js HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [04/Feb/2022:10:55:44 +0900] "GET /02_html/05_javaScript/test03_formchecker.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:11:10:22 +0900] "GET /02_html/05_javaScript/test03_formchecker.html HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [04/Feb/2022:11:10:22 +0900] "GET /02_html/05_javaScript/test03.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:11:34:19 +0900] "GET /02_html/05_javaScript/test04_formchecker_2.html HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [04/Feb/2022:11:35:06 +0900] "GET /02_html/05_javaScript/test04_formchecker_2.html?name=%EC%9D%B4%EC%88%9C%EC%8B%A0&id=ppp&pw=1234&email=lee%40naver.com HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [04/Feb/2022:11:53:09 +0900] "GET /02_html/05_javaScript/test05_check.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [04/Feb/2022:11:54:09 +0900] "GET /02_html/05_javaScript/test05_check.jsp?sub=java&sub=python&sub=c%EC%96%B8%EC%96%B4&sub=jsp&sub=Spring HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [04/Feb/2022:12:09:42 +0900] "GET /02_html/05_javaScript/test06_addr.html HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [04/Feb/2022:12:09:49 +0900] "GET /02_html/05_javaScript/test06_addr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:12:10:09 +0900] "GET /02_html/05_javaScript/test06_addr.html HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [04/Feb/2022:12:12:27 +0900] "GET /02_html/05_javaScript/test06_addr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2022:12:42:06 +0900] "GET /02_html/05_javaScript/test08_select.html HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [04/Feb/2022:12:56:49 +0900] "GET /02_html/05_javaScript/test09_select.html HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [04/Feb/2022:13:01:24 +0900] "GET /02_html/05_javaScript/test09_select.html HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [04/Feb/2022:13:15:35 +0900] "GET /02_html/05_javaScript/test10_select.html HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [04/Feb/2022:13:15:47 +0900] "GET /02_html/05_javaScript/test10_select.html HTTP/1.1" 304 -
