0:0:0:0:0:0:0:1 - - [28/Jan/2022:12:35:36 +0900] "GET /02_html/02_css/test05.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:12:36:13 +0900] "GET /02_html/02_css/test05.html HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [28/Jan/2022:12:36:13 +0900] "GET /02_html/02_css/abc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:12:40:34 +0900] "GET /02_html/02_css/test05.html HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [28/Jan/2022:12:40:34 +0900] "GET /02_html/02_css/abc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:13:17:41 +0900] "GET /02_html/03_html5/test01.html HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [28/Jan/2022:13:17:41 +0900] "GET /02_html/03_html5/test01.css HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [28/Jan/2022:13:17:41 +0900] "GET /02_html/03_html5/imgs/100_0926.JPG HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [28/Jan/2022:13:18:49 +0900] "GET /02_html/03_html5/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:13:18:49 +0900] "GET /02_html/03_html5/test01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:13:18:49 +0900] "GET /02_html/03_html5/imgs/100_0926.JPG HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:27 +0900] "GET /02_html/03_html5/test01.html HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:27 +0900] "GET /02_html/03_html5/test01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:27 +0900] "GET /02_html/03_html5/imgs/p_un_bin_3.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:28 +0900] "GET /02_html/03_html5/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:28 +0900] "GET /02_html/03_html5/imgs/p_un_bin_3.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:29 +0900] "GET /02_html/03_html5/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:29 +0900] "GET /02_html/03_html5/imgs/p_un_bin_3.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:30 +0900] "GET /02_html/03_html5/test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jan/2022:14:32:30 +0900] "GET /02_html/03_html5/imgs/p_un_bin_3.png HTTP/1.1" 404 1064
