127.0.0.1 - - [03/Feb/2022:10:16:38 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:16:38 +0900] "GET /02_html/04_javaScript/test01.html HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:16:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:17:07 +0900] "GET /02_html/04_javaScript/test01.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:18:57 +0900] "GET /02_html/04_javaScript/test01.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:37:38 +0900] "GET /02_html/04_javaScript/test01.html HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:44:14 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:46:09 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:46:30 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:46:31 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:46:58 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:48:09 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:48:14 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:49:28 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:49:39 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:50:15 +0900] "GET /02_html/04_javaScript/test02_var.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [03/Feb/2022:10:59:52 +0900] "GET /02_html/04_javaScript/test03_oper.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:02:37 +0900] "GET /02_html/04_javaScript/test03_oper.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:02:47 +0900] "GET /02_html/04_javaScript/test03_oper.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:02:54 +0900] "GET /02_html/04_javaScript/test03_oper.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:09:54 +0900] "GET /02_html/04_javaScript/test04_oper.html HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:10:10 +0900] "GET /02_html/04_javaScript/test04_oper.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:11:00 +0900] "GET /02_html/04_javaScript/test04_oper.html HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:11:51 +0900] "GET /02_html/04_javaScript/test04_oper.html HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:12:27 +0900] "GET /02_html/04_javaScript/test04_oper.html HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:17:54 +0900] "GET /02_html/04_javaScript/test05_oper.html HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:19:36 +0900] "GET /02_html/04_javaScript/test05_oper.html HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:35:53 +0900] "GET /02_html/04_javaScript/test06_oper.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:39:25 +0900] "GET /02_html/04_javaScript/test06_oper.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:50:49 +0900] "GET /02_html/04_javaScript/test07_alert.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:51:56 +0900] "GET /02_html/04_javaScript/test07_alert.html HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:52:15 +0900] "GET /02_html/04_javaScript/test07_alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:52:43 +0900] "GET /02_html/04_javaScript/test07_alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:11:54:11 +0900] "GET /02_html/04_javaScript/test07_alert.html HTTP/1.1" 200 641
